,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Raul Neto Togni,Brazil,5,3,2,60%,3,"1,6","0,2","0,2",100%,"0,2","0,2",100%,"0,4","0,4",100%,"0,6","0,6",100%,0,"0,4","0,4","0,8","0,2",1,0,0,0,0,"3,6","6,6","0,8",5%,2,"114,5","66,7","47,8",207,"60,6","146,4",125%,133%,0%,-,25%,2,0%,-,0%,-,25%,3,25%,25%,12%,11%,25%,0%,50%,4,"0,00%","0,00%","0,00%","0,00%","5,70%","10,00%","0,00%","0,00%","3,40%","7,20%","0,00%",0,0,"49,5","0,1","0,2","0,4","0,991","1,8","6,5","8,4","0,4","84,3","114,5","66,7","47,8",67%,21%,20%,11%,40%,14%,22%,4%,"73,9","110,4","118,3",-8,56%,37%,14%,11%,59%,26%,11%,11%,"10,4","4,1","-51,7","55,8",11%,-16%,6%,0%,-19%,-12%,10%,-7%
Felipe Dos Anjos,Brazil,5,3,2,60%,"1,6","0,2",0,"0,2",0%,0,0,-,0,"0,2",0%,"0,2","0,4",50%,0,"0,2","0,2",0,"0,4","0,2",0,0,"0,2",0,"-0,4","1,6","0,8",9%,"0,25",114,"93,2","20,8","25,5","92,9","-67,5",0%,25%,0%,-,25%,0,0%,-,0%,-,0%,-,25%,50%,0%,0%,0%,0%,0%,0,"0,00%","0,00%","0,00%","0,00%","5,60%","14,30%","0,00%","0,00%","2,90%","2,30%","0,00%","2,3",0,"-10,1","-0,1","0,1",0,"-0,053","-11,3","2,6","-8,7","-0,1","77,9",114,"93,2","20,8",61%,24%,15%,9%,59%,17%,26%,2%,"75,3","110,7","110,8",0,57%,36%,15%,11%,56%,25%,11%,10%,"2,6","3,2","-17,6","20,8",4%,-12%,0%,-3%,3%,-8%,14%,-8%
Georginho De Paula,Brazil,5,3,2,60%,"23,8","6,2","1,6","3,8",42%,"0,6","2,6",23%,"2,2","6,4",34%,"1,2","1,6",75%,1,"2,6","3,6",3,"1,4","0,4",0,0,"1,4",0,"5,8","-3,2","8,6",17%,"0,72","110,1","121,5","-11,3","105,2","114,7","-9,6",39%,43%,16%,"1,14",26%,"0,73",2%,0,5%,0,26%,"0,82",9%,16%,15%,10%,40%,0%,26%,"2,1","5,20%","3,00%","6,20%","0,00%","11,10%","10,60%","6,50%","15,40%","8,40%","0,90%","0,00%","3,2",0,"7,9","0,1",0,"0,1","0,032","-3,5","0,4","-3,2","-0,4","75,2","110,1","121,5","-11,3",58%,27%,15%,11%,60%,23%,10%,11%,"76,2","112,6",90,"22,6",57%,44%,15%,11%,49%,26%,18%,8%,-1,"-2,5","31,5","-33,9",1%,-17%,0%,0%,11%,-3%,-8%,3%
Bruno Caboclo,Brazil,5,3,2,60%,28,"16,4",5,"7,4",68%,1,"3,2",31%,6,"10,6",57%,"3,4","4,2",81%,"2,8","6,4","9,2","0,8","1,6","1,4","1,2",0,3,0,19,3,"14,2",37%,"1,15","117,4",112,"5,5","106,6","87,4","19,2",61%,65%,20%,"1,86",32%,"1,04",0%,-,3%,"1,5",20%,"0,86",14%,11%,8%,14%,0%,0%,5%,"0,5","20,00%","24,10%","15,90%","0,00%","34,80%","19,00%","42,90%","18,20%","28,40%","4,20%","4,10%",9,0,"25,7","0,1","0,3","0,4","0,114","2,7","3,3",6,"3,1","74,5","117,4",112,"5,5",64%,27%,17%,7%,56%,25%,12%,11%,"76,5","105,8","105,9","-0,1",53%,39%,14%,14%,56%,23%,14%,9%,-2,"11,6",6,"5,6",10%,-12%,3%,-6%,0%,2%,-2%,2%
Lucas Dias,Brazil,5,3,2,60%,"21,2","6,8","0,8",1,80%,"1,6",4,40%,"2,4",5,48%,"0,4","0,8",50%,1,"2,2","3,2",1,"0,6","0,6","0,6",0,"2,6",0,6,"0,4",6,16%,"1,13","107,4","106,8","0,6","111,2","99,3","11,9",64%,63%,3%,2,10%,2,3%,0,13%,"0,75",53%,"1,31",7%,10%,8%,0%,31%,5%,14%,"1,7","6,30%","0,00%","8,60%","0,00%","12,60%","12,80%","8,70%","11,10%","9,60%","1,90%","2,20%",8,0,"12,2","0,1","0,2","0,2","0,092","2,4","2,6",5,"2,1","73,7","107,4","106,8","0,6",54%,26%,13%,11%,55%,18%,12%,12%,"77,1",114,"110,1","3,8",60%,41%,17%,11%,56%,29%,14%,7%,"-3,5","-6,6","-3,4","-3,2",-6%,-15%,-4%,0%,-1%,-11%,-1%,5%
Ziga Samar,Slovenia,8,5,3,63%,"5,3","0,9","0,1","0,1",100%,"0,1","0,8",17%,"0,3","0,9",29%,"0,3","0,3",100%,0,"0,4","0,4","0,4","0,5","0,3",0,0,1,0,"-0,3","1,4","1,5",11%,"0,58","111,6","93,9","17,7","67,4","93,4",-26,36%,44%,0%,-,8%,2,0%,-,17%,"1,5",33%,0,8%,33%,7%,0%,15%,0%,20%,"0,8","0,00%","0,00%","0,00%","0,00%","6,50%","0,00%","9,70%","0,00%","3,60%","2,00%","0,00%","8,2",0,"-1,7","-0,1","0,1","0,1","0,061","-6,2","-0,7","-6,9","-0,6","79,8","111,6","93,9","17,7",60%,26%,16%,16%,57%,13%,22%,4%,"76,7","115,2","110,1",5,62%,30%,16%,13%,60%,26%,17%,7%,"3,1","-3,6","-16,3","12,7",-2%,-3%,0%,3%,-3%,-13%,5%,-3%
Aleksej Nikolic,Slovenia,8,5,3,63%,"25,3","8,3","0,6","1,4",45%,"1,8",4,44%,"2,4","5,4",44%,"1,8","1,9",93%,"0,9","1,6","2,5","3,1","1,1","0,8",0,0,"2,9",0,"7,5","2,4","7,4",22%,"1,12","123,3","111,5","11,9","136,4","103,4","32,9",60%,69%,7%,"0,5",5%,"0,67",0%,-,10%,1,32%,"1,26",8%,15%,24%,21%,33%,10%,30%,"2,8","7,20%","6,70%","4,30%","0,00%","11,40%","5,70%","6,10%","0,00%","9,50%","2,50%","0,00%","9,4",0,"12,6","0,5","0,1","0,6","0,119","2,7","-1,5","1,2","1,8","75,1","123,3","111,5","11,9",65%,28%,15%,14%,59%,28%,16%,5%,"79,9","104,9","101,4","3,5",58%,30%,17%,13%,60%,17%,21%,8%,"-4,8","18,4","10,1","8,3",7%,-2%,-3%,1%,-1%,11%,-5%,-2%
Klemen Prepelic,Slovenia,8,5,3,63%,"17,9","12,3","1,3","1,8",71%,"2,1","5,1",41%,"3,4","6,9",49%,"3,4","3,9",87%,"0,4","2,4","2,8","2,1","1,3","0,4",0,0,"1,9",0,"10,4","-0,8","9,6",33%,"1,27",101,"97,1","3,9","135,4","93,2","42,2",65%,77%,6%,2,4%,"0,67",4%,"1,33",3%,"1,5",35%,"1,33",12%,13%,29%,24%,60%,8%,18%,"1,7","3,00%","0,00%","2,70%","11,10%","20,40%","16,20%","15,10%","0,00%","11,50%","1,50%","0,00%","7,3",0,"24,2","0,5","0,3","0,8","0,21","8,2","-3,4","4,7","2,7","75,8",101,"97,1","3,9",54%,26%,17%,11%,56%,15%,19%,8%,"78,6","125,5","114,4","11,1",68%,32%,15%,15%,61%,30%,18%,5%,"-2,8","-24,5","-17,3","-7,2",-14%,-5%,1%,-4%,-5%,-15%,2%,3%
Mike Tobey,Slovenia,8,5,3,63%,"24,6","11,6","3,8","5,9",64%,"1,3","2,1",59%,5,8,63%,"0,4","0,5",75%,3,"3,3","6,3","1,8","1,4","0,8","0,3",0,"1,9",0,"14,3","1,6","9,5",27%,"1,22","119,4","108,1","11,2","133,1","98,5","34,7",70%,72%,28%,"1,71",7%,"1,2",7%,"1,2",1%,0,13%,"2,1",1%,14%,15%,11%,22%,6%,16%,"1,3","21,80%","13,20%","10,10%","0,00%","20,80%","22,20%","12,50%","9,10%","21,30%","2,30%","0,90%","5,8",0,22,"0,5","0,2","0,7","0,152","4,1","-0,3","3,8","3,2","75,3","119,4","108,1","11,2",62%,23%,13%,12%,58%,24%,16%,7%,80,"108,3","104,9","3,4",60%,37%,20%,15%,61%,22%,21%,6%,"-4,7","11,1","3,3","7,9",2%,-14%,-7%,-2%,-3%,2%,-5%,1%
Jaka Blazic,Slovenia,8,5,3,63%,"3,3","1,6","0,4","0,5",75%,"0,1","0,5",25%,"0,5",1,50%,"0,5","0,5",100%,"0,1","0,3","0,4",0,"0,4",0,0,0,"0,5",0,"0,6","-0,4","1,6",17%,1,"113,4","105,7","7,7","98,2","105,3","-7,1",56%,65%,23%,2,8%,0,0%,-,8%,0,15%,0,15%,23%,0%,0%,0%,0%,0%,0,"3,60%","0,00%","4,80%","0,00%","5,90%","0,00%","11,10%","0,00%","4,80%","0,00%","0,00%","5,7",0,8,0,0,0,"0,014","-5,5",-4,"-9,5","-0,5","75,2","113,4","105,7","7,7",62%,32%,20%,16%,57%,21%,16%,8%,"77,7","114,6","106,9","7,7",61%,29%,15%,13%,59%,24%,19%,6%,"-2,5","-1,2","-1,2",0,1%,4%,4%,3%,-3%,-3%,-3%,2%
Gregor Hrovat,Slovenia,8,5,3,63%,"17,4","5,6","1,3","2,1",59%,"0,6",2,31%,"1,9","4,1",45%,"1,3","1,4",91%,"0,9",1,"1,9",1,"0,3","0,4",0,0,"2,4",0,"3,9","2,8",5,20%,"1,13","113,4","98,9","14,6","124,6","96,1","28,5",53%,63%,25%,1,5%,1,3%,2,13%,"1,2",20%,"0,75",8%,5%,11%,9%,9%,0%,17%,4,"10,00%","3,60%","6,50%","0,00%","8,90%","7,00%","8,70%","10,00%","9,40%","1,70%","0,00%","10,7",0,"10,6","0,2","0,1","0,3","0,089","-0,4","-1,7","-2,1",0,"79,7","113,4","98,9","14,6",64%,23%,18%,13%,54%,21%,18%,8%,"75,8","115,1","111,5","3,6",60%,32%,15%,13%,62%,25%,18%,5%,"3,8","-1,7","-12,7",11,3%,-9%,3%,0%,-8%,-4%,-1%,3%
Ziga Dimec,Slovenia,8,5,3,63%,"13,8","3,9","1,3","1,8",71%,0,0,-,"1,3","1,8",71%,"1,4",2,69%,1,1,2,"0,4","1,3","0,5","0,3",0,"2,5",0,"2,1","-1,9",4,16%,"0,97","106,6","108,4","-1,8","100,7","103,6","-2,9",71%,74%,19%,"1,33",19%,"1,67",3%,0,0%,-,0%,-,22%,31%,4%,0%,11%,0%,9%,"0,3","10,70%","17,40%","6,10%","0,00%","10,80%","6,10%","9,30%","10,00%","10,70%","2,20%","1,50%","11,2",0,"7,4",0,"0,1","0,1","0,019","-3,7","0,6",-3,"-0,3","80,9","106,6","108,4","-1,8",60%,25%,20%,15%,65%,18%,22%,6%,"75,2","119,4","105,6","13,8",62%,31%,14%,13%,56%,27%,16%,7%,"5,7","-12,8","2,7","-15,6",-2%,-6%,6%,2%,9%,-9%,7%,0%
Zoran Dragic,Slovenia,8,5,3,63%,20,8,"1,1","2,8",41%,"1,5","4,5",33%,"2,6","7,3",36%,"1,3","2,1",59%,1,"2,3","3,3","1,9","0,9","0,8",0,0,"1,6",0,"5,9","1,6","9,1",28%,"0,88","123,5","112,9","10,5","108,5","105,5","2,9",47%,51%,14%,1,10%,"1,14",1%,0,11%,"0,75",21%,"0,8",7%,10%,15%,14%,8%,10%,17%,"2,1","8,30%","0,00%","9,40%","0,00%","17,50%","13,70%","9,70%","0,00%","13,10%","2,60%","0,00%","5,6",0,"12,6",0,"0,1","0,1","0,025","-1,8","-1,9","-3,7","-0,8","78,1","123,5","112,9","10,5",64%,30%,15%,14%,63%,24%,19%,5%,"76,6","105,6","100,4","5,1",59%,28%,17%,13%,55%,22%,17%,8%,"1,5","17,9","12,5","5,4",6%,2%,-3%,2%,8%,2%,2%,-3%
Bine Prepelic,Slovenia,8,5,3,63%,"22,4","4,5","1,1","1,8",64%,"0,5","2,3",22%,"1,6",4,41%,"0,8","1,1",67%,1,"2,9","3,9","0,9","0,5","0,3",0,0,2,0,"4,3","5,6","4,9",13%,"0,92","126,3","107,6","18,7","101,7","102,5","-0,8",47%,51%,21%,"1,5",8%,2,5%,0,18%,"0,43",18%,"0,86",8%,10%,5%,2%,13%,0%,15%,"1,8","7,50%","2,70%","5,60%","0,00%","18,70%","9,30%","16,40%","0,00%","13,50%","0,80%","0,00%","6,1",0,"6,5",0,"0,2","0,3","0,06",-3,"-0,9","-3,9",-1,"76,6","126,3","107,6","18,7",65%,27%,13%,15%,58%,28%,18%,5%,"78,3",99,"105,5","-6,5",56%,31%,20%,12%,61%,16%,18%,8%,"-1,8","27,3","2,2","25,2",9%,-4%,-7%,3%,-3%,13%,0%,-3%
Gregor Glas,Slovenia,8,5,3,63%,"3,4",1,"0,3","0,4",67%,"0,1","0,5",25%,"0,4","0,9",43%,"0,1","0,1",100%,"0,1",0,"0,1","0,1","0,3","0,3",0,0,0,0,"0,8",-3,"1,1",35%,"0,89",84,"166,7","-82,7","90,4","137,9","-47,5",50%,57%,22%,2,11%,0,0%,-,0%,-,22%,0,0%,22%,17%,50%,0%,0%,10%,"0,5","11,10%","0,00%","25,00%","0,00%","0,00%","0,00%","0,00%","0,00%","5,00%","8,30%","0,00%",0,0,"9,3",0,"-0,1","-0,1","-0,137","-2,1","-0,4","-2,5",0,"91,6",84,"166,7","-82,7",58%,11%,31%,12%,77%,45%,10%,14%,"76,7","116,2","103,4","12,8",62%,30%,15%,14%,58%,22%,19%,6%,"14,9","-32,2","63,2","-95,4",-3%,-19%,16%,-2%,19%,23%,-8%,8%
Jakob Cebasek,Slovenia,8,5,3,63%,"14,3","3,4","0,1","0,3",50%,1,3,33%,"1,1","3,3",35%,"0,1","0,5",25%,"0,6","1,1","1,8","0,5","0,6","0,3",0,0,"2,5",0,"0,3","-3,6","4,1",15%,"0,82",99,"104,3","-5,3","80,8",103,"-22,2",50%,48%,6%,1,0%,-,0%,-,24%,"1,13",36%,1,6%,15%,5%,3%,4%,5%,11%,"0,8","5,60%","0,00%","6,20%","0,00%","9,70%","7,50%","11,80%","0,00%","7,70%","1,00%","0,00%","9,6",0,"2,2","-0,1","0,1",0,"-0,011","-2,6","-1,8","-4,4","-0,8","77,9",99,"104,3","-5,3",57%,24%,21%,11%,60%,14%,18%,8%,"76,9","126,6","108,6",18,65%,33%,12%,15%,58%,31%,18%,5%,"1,1","-27,6","-4,3","-23,3",-8%,-10%,9%,-4%,2%,-17%,0%,3%
Luka Doncic,Slovenia,8,5,3,63%,"32,3",27,"4,8","8,9",54%,"2,9","8,9",32%,"7,6","17,8",43%,"8,9","11,5",77%,"0,1",7,"7,1",6,"4,3","2,5","0,4",0,"2,6",0,"23,4","0,5","27,1",54%,1,"114,6","107,3","7,4","122,3","87,8","34,5",51%,62%,7%,"1,5",11%,"1,39",5%,"0,6",1%,0,23%,"0,92",14%,16%,52%,52%,52%,15%,18%,"1,4","0,70%","0,00%","0,00%","10,00%","33,10%","26,80%","20,00%","36,80%","17,70%","5,60%","1,00%","5,9",0,"29,1",1,"0,5","1,5","0,232","6,6","0,6","7,2","6,6","77,1","114,6","107,3","7,4",61%,25%,15%,14%,59%,24%,19%,6%,"78,3","113,7","104,7",9,64%,42%,21%,13%,59%,19%,17%,8%,"-1,3","0,9","2,6","-1,7",-4%,-17%,-7%,0%,0%,5%,2%,-2%
Gregory Vargas,Venezuela,5,0,5,0%,"1,8",1,"0,2","0,4",50%,"0,2","0,2",100%,"0,4","0,6",67%,0,0,-,0,0,0,0,"0,4",0,0,0,"0,4",0,0,"-1,6",1,45%,1,150,"209,1","-59,1","85,5","201,3","-115,8",83%,83%,0%,-,20%,0,20%,2,0%,-,20%,3,-,40%,0%,0%,0%,-,0%,0,"0,00%",-,"0,00%",-,"0,00%",-,"0,00%",-,"0,00%","0,00%","0,00%","18,2",0,3,0,"-0,1","-0,1","-0,299","-26,5",-7,"-33,5","-0,8","64,2",150,"209,1","-59,1",94%,50%,27%,0%,105%,50%,8%,8%,"76,8","95,7","112,2","-16,5",51%,28%,17%,5%,59%,29%,16%,12%,"-12,6","54,3","96,9","-42,6",42%,22%,10%,-5%,45%,21%,-7%,-4%
Garly Sojo,Venezuela,5,0,5,0%,"23,6","12,4","2,6","4,8",54%,"1,8",5,36%,"4,4","9,8",45%,"1,8","2,8",64%,"1,4","2,8","4,2","1,2","2,2","0,8","0,2",0,"2,2",0,8,-7,"13,2",27%,"0,94","98,1",119,"-20,9","88,4","109,8","-21,3",54%,56%,11%,"1,71",15%,1,11%,"0,57",3%,"1,5",33%,"1,09",9%,17%,10%,15%,4%,0%,8%,"0,5","6,30%","7,30%","3,20%","33,30%","15,10%","10,50%","11,10%","50,00%","10,30%","2,00%","0,60%","5,4",0,"19,1","-0,2","0,1","-0,1","-0,024","-2,7","-1,2","-3,9","-0,6","74,3","98,1",119,"-20,9",53%,25%,18%,4%,62%,28%,14%,12%,"79,2","95,9","110,2","-14,4",52%,31%,17%,6%,59%,32%,17%,12%,"-4,9","2,3","8,8","-6,5",1%,-6%,1%,-2%,2%,-4%,-3%,0%
Jhornan Zamora,Venezuela,5,0,5,0%,"20,4","8,2","0,6",1,60%,"2,2","6,6",33%,"2,8","7,6",37%,"0,4","0,4",100%,"0,6",2,"2,6","1,2","0,8","0,8",0,0,2,0,"5,2","-6,8","8,6",19%,"0,95",99,"117,6","-18,6","93,9",111,"-17,1",51%,53%,5%,1,2%,2,5%,1,23%,"1,2",51%,"0,82",2%,9%,8%,10%,5%,10%,12%,"1,5","3,00%","2,30%","3,10%","0,00%","11,10%","13,30%","7,50%","12,50%","6,80%","2,00%","0,00%","4,9",0,"15,2","-0,1","0,1",0,"0,009","-2,6","-1,2","-3,8","-0,5",78,99,"117,6","-18,6",55%,22%,19%,5%,62%,26%,15%,11%,"74,6","94,8",112,"-17,1",49%,34%,16%,5%,59%,35%,17%,14%,"3,4","4,2","5,7","-1,5",6%,-12%,3%,1%,3%,-9%,-2%,-3%
David Cubillan,Venezuela,5,0,5,0%,"20,4","7,6",1,"2,4",42%,"1,8","4,4",41%,"2,8","6,8",41%,"0,2","0,2",100%,"0,2","1,2","1,4","3,2","1,6","0,8","0,2",0,"1,4",0,"6,2","-3,8","8,4",22%,"0,9","93,8","108,2","-14,4","111,3","101,4","9,9",54%,56%,7%,"1,33",5%,1,17%,"0,57",10%,"0,75",43%,"1,33",0%,19%,29%,10%,61%,11%,28%,2,"1,20%","0,00%","2,00%","0,00%","7,10%","5,60%","5,60%","12,50%","4,10%","2,30%","0,70%","4,1",0,"16,4","0,1","0,2","0,3","0,112","-0,5","-3,1","-3,6","-0,5","75,6","93,8","108,2","-14,4",53%,16%,17%,6%,57%,26%,16%,12%,"77,1",100,121,-21,52%,36%,18%,4%,64%,34%,15%,12%,"-1,6","-6,2","-12,8","6,6",1%,-20%,0%,2%,-7%,-8%,1%,0%
Pedro Chourio,Venezuela,5,0,5,0%,"19,4",7,"1,4","3,4",41%,"1,4","4,6",30%,"2,8",8,35%,0,0,-,"0,4","2,2","2,6",1,1,"0,6",0,0,"1,8",0,"3,2","-1,8",9,18%,"0,78","97,3","103,2","-5,9",78,"99,4","-21,4",44%,44%,2%,2,20%,"0,89",16%,"0,57",2%,0,49%,"0,95",-,11%,6%,2%,17%,0%,10%,1,"1,70%","1,60%","1,50%","0,00%","10,30%","6,70%","9,30%","25,00%","5,80%","1,40%","0,00%","4,1",0,"8,4","-0,2","0,2",0,"0,017","-6,4","-1,4","-7,8","-1,6",74,"97,3","103,2","-5,9",51%,28%,17%,4%,54%,27%,15%,10%,"79,9","96,9","131,8","-34,9",54%,28%,18%,6%,71%,35%,16%,15%,"-5,8","0,4","-28,6",29,-3%,0%,-1%,-2%,-17%,-8%,-1%,-5%
Miguel Ruiz,Venezuela,5,0,5,0%,16,"1,8","0,6","2,4",25%,0,0,-,"0,6","2,4",25%,"0,6","0,6",100%,"1,4","2,2","3,6",1,"0,8",1,0,0,"3,2",0,"1,6","-7,4","3,4",13%,"0,53","78,8",113,"-34,2","87,5",96,"-8,5",25%,35%,12%,0,29%,"0,8",29%,"0,4",0%,-,0%,-,6%,24%,14%,18%,15%,0%,23%,"1,3","11,10%","3,70%","15,40%","0,00%","22,00%","19,00%","22,60%","0,00%","15,90%","4,30%","0,00%","13,9",0,"4,8","-0,1","0,1","0,1","0,045","-5,3","3,6","-1,7","0,1","76,7","78,8",113,"-34,2",45%,21%,21%,5%,61%,30%,18%,15%,"76,3","105,3",116,"-10,7",55%,31%,16%,5%,61%,29%,15%,11%,"0,4","-26,5",-3,"-23,5",-11%,-11%,5%,1%,0%,1%,3%,4%
Windi Graterol,Venezuela,5,0,5,0%,10,"0,8","0,4","1,6",25%,0,"0,2",0%,"0,4","1,8",22%,0,"0,4",0%,"0,8","1,6","2,4","0,6","0,6","0,8","0,8",0,2,0,1,"-8,8","2,6",8%,"0,31","92,9","125,2","-32,3","71,4","111,6","-40,2",22%,20%,38%,"0,8",23%,0,0%,-,0%,-,8%,0,8%,23%,6%,4%,9%,0%,19%,1,"5,50%","11,10%","0,00%","0,00%","12,90%","19,20%","7,90%","0,00%","8,90%","2,90%","3,50%","7,2",0,5,"-0,1","0,1",0,"-0,038","-9,4","4,3","-5,2","-0,4","75,7","92,9","125,2","-32,3",51%,25%,20%,3%,64%,31%,14%,14%,"76,8","99,6","109,1","-9,5",53%,30%,16%,6%,59%,29%,17%,11%,"-1,1","-6,7","16,1","-22,9",-2%,-5%,3%,-3%,5%,2%,-3%,3%
Heissler Guillent,Venezuela,5,0,5,0%,24,"9,6","2,2","4,8",46%,"1,4","3,8",37%,"3,6","8,6",42%,1,1,100%,"0,4","1,4","1,8","6,6","2,2","0,6",0,0,"1,4",0,10,"-6,8","11,2",22%,"0,86","94,6","113,4","-18,7","126,4","109,1","17,3",50%,53%,0%,-,25%,"0,57",18%,"1,4",0%,-,34%,"1,11",4%,20%,46%,49%,46%,38%,37%,3,"1,70%","1,80%","1,40%","0,00%","7,20%","7,50%","6,10%","0,00%","4,10%","1,40%","0,00%","3,2",0,21,"0,4","0,1","0,5","0,175","1,6","-6,8","-5,2","-1,1","77,7","94,6","113,4","-18,7",50%,29%,17%,4%,60%,29%,16%,14%,"74,6","100,6","117,5","-16,9",56%,27%,18%,6%,62%,31%,15%,9%,"3,2",-6,"-4,2","-1,8",-7%,2%,0%,-2%,-2%,-2%,2%,5%
Yohanner Sifontes,Venezuela,5,0,5,0%,"7,8","3,4","0,4","1,2",33%,"0,8","1,4",57%,"1,2","2,6",46%,"0,2","0,8",25%,"0,4","0,6",1,"0,2","0,4",0,0,0,"0,8",0,"1,4","-3,4","3,4",13%,1,"91,1","108,2","-17,1","84,9","109,4","-24,5",62%,57%,12%,0,18%,"1,33",6%,0,6%,3,35%,"1,5",12%,12%,3%,4%,0%,0%,6%,"0,5","3,10%","3,10%","2,60%","0,00%","6,40%","9,50%","3,00%","0,00%","4,50%","0,00%","0,00%","3,6",0,"12,5","-0,1","0,1",0,"0,002",-5,"-2,2","-7,3","-0,6","74,7","91,1","108,2","-17,1",46%,27%,15%,5%,60%,23%,17%,9%,"77,1","99,6",118,"-18,4",55%,29%,19%,5%,61%,32%,15%,13%,"-2,5","-8,6","-9,8","1,3",-9%,-2%,-4%,1%,-2%,-9%,2%,-4%
Michael Carrera,Venezuela,5,0,5,0%,9,3,"0,6","2,4",25%,"0,4","1,2",33%,1,"3,6",28%,"0,6","0,8",75%,"0,4","0,8","1,2","0,4","0,2","0,2",0,0,"0,8",0,1,2,"4,2",21%,"0,71","135,2","134,5","0,6","83,7","124,1","-40,4",33%,38%,33%,"0,29",10%,2,14%,0,0%,-,29%,1,10%,5%,5%,6%,5%,0%,9%,2,"5,70%","6,30%","4,80%","0,00%","11,80%","13,30%","9,10%","0,00%","8,70%","1,20%","0,00%","4,8",0,"7,4","-0,1",0,"-0,1","-0,094","-13,5",-3,"-16,5","-1,8","80,1","135,2","134,5","0,6",71%,26%,13%,8%,71%,38%,18%,12%,"75,3","85,2","109,4","-24,2",46%,28%,19%,4%,58%,27%,15%,12%,"4,8","49,9","25,1","24,8",24%,-3%,-6%,4%,13%,11%,3%,0%
Jose Materan,Venezuela,5,0,5,0%,"19,6","9,2",2,"2,2",91%,"1,6","4,8",33%,"3,6",7,51%,"0,4","0,8",50%,"0,6",1,"1,6","1,2",1,0,0,0,2,0,"5,2",-1,"8,2",22%,"1,12","97,6","105,6",-8,"97,3","103,9","-6,6",63%,64%,12%,2,5%,2,10%,"1,5",17%,"0,86",41%,"1,06",2%,12%,12%,16%,13%,0%,13%,"1,2","3,40%","0,00%","5,90%","0,00%","6,20%","6,50%","3,40%","10,00%","4,80%","0,00%","0,00%","6,2",0,"16,2",0,"0,1","0,1","0,044","0,5","-3,9","-3,4","-0,4","79,3","97,6","105,6",-8,52%,21%,15%,6%,56%,26%,16%,14%,"74,3","96,7","122,4","-25,7",53%,33%,19%,4%,65%,33%,15%,10%,5,"0,9","-16,8","17,7",-1%,-13%,-4%,2%,-9%,-7%,1%,4%
Nestor Colmenares,Venezuela,5,0,5,0%,"27,4","10,2","4,2","6,6",64%,"0,2","1,4",14%,"4,4",8,55%,"1,2","2,2",55%,"2,6","3,6","6,2",3,"1,6","1,4","0,4",0,"3,8",0,"11,2","-9,6","10,2",20%,1,"96,5","120,8","-24,3","111,7","109,4","2,3",56%,57%,35%,"1,78",25%,"0,77",0%,-,0%,-,14%,"0,43",10%,16%,22%,13%,30%,25%,23%,"1,9","12,30%","2,00%","18,80%","0,00%","19,60%","18,90%","18,30%","0,00%","15,70%","3,20%","1,10%","8,6",0,"22,4","0,1","0,1","0,3","0,075","0,3","2,3","2,7","1,8","77,1","96,5","120,8","-24,3",54%,21%,19%,5%,65%,24%,16%,11%,"75,4","98,1","106,7","-8,6",50%,36%,15%,4%,54%,38%,16%,14%,"1,6","-1,6","14,1","-15,7",5%,-15%,3%,1%,11%,-14%,0%,-3%
Filip Petrusev,Serbia,8,6,2,75%,"10,4","6,1",2,"2,6",76%,"0,4","0,6",60%,"2,4","3,3",73%,1,"1,3",80%,"0,8","1,9","2,6","0,8","0,6","0,1","0,4",0,"1,3",0,7,"3,1","4,5",23%,"1,36","116,8","96,6","20,2","129,2","93,2","35,9",79%,79%,28%,2,25%,"1,33",6%,0,0%,-,14%,"1,8",14%,14%,11%,11%,17%,7%,14%,"1,2","10,50%","8,00%","12,50%","0,00%","23,10%","27,80%","15,20%","0,00%","17,20%","0,70%","2,50%","6,8",0,"19,4","0,2","0,2","0,4","0,216","6,9","2,2",9,"2,5","75,1","116,8","96,6","20,2",61%,25%,13%,14%,54%,25%,20%,6%,"76,9","126,7","101,3","25,4",68%,29%,14%,11%,57%,23%,18%,10%,"-1,8","-9,9","-4,7","-5,2",-7%,-4%,-2%,3%,-2%,2%,1%,-4%
